18.161.138.190	aax.amazon-adsystem.com
209.54.181.40	aax-dtb-mobile-geo.amazon-adsystem.com
209.54.181.40	aax-us-east.amazon-adsystem.com
23.45.119.209	ad.appier.net
18.235.204.9	adexp.liftoff.io
3.5.163.195	ad-host-backup-america.s3.us-west-1.amazonaws.com
52.219.124.159	ad-host-backup-asia.s3.ap-southeast-1.amazonaws.com
52.72.195.3	adx-tk.mtgglobals.com
184.27.192.23	amp-api-edge.apps.apple.com
216.239.36.21	analytics.atom.ai.verve.com
167.235.118.103	api.bidmachine.io
69.20.43.195	api.iad3rs0zone1.pubnative.net
69.20.13.1	api.iad3rs0zone2.pubnative.net
35.190.43.134	api.snapkit.com
172.240.102.220	api-us-was.bidmachine.io
185.151.204.12	app.adjust.com
185.151.204.1	app.adjust.io
142.251.32.110	app-measurement.com
23.41.240.19	apps.apple.com
34.120.175.182	assets.applovin.com
108.138.167.15	assets.mintegral.com
4.255.57.234	b.de.inmobi.com
44.215.60.24	br-trk.smadex.com
18.154.217.104	c.amazon-adsystem.com
34.138.181.208	cached-ad.prod.fyber.com
13.249.74.8	cdn.jampp.com
151.101.65.229	cdn.jsdelivr.net
13.226.184.67	cdn.liftoff-creatives.io
34.160.139.64	cdn.pubnative.net
152.199.6.223	cdn2.inner-active.mobi
199.232.210.110	cdn-f.adsmoloco.com
23.220.251.134	cdn-lb.vungle.com
23.220.161.207	cdn-settings.appsflyersdk.com
3.218.64.130	click.liftoff.io
23.47.50.230	client-api.itunes.apple.com
52.21.65.136	config.ads.vungle.com
20.39.59.188	config.inmobi.com
216.239.36.21	configuration.atom.ai.verve.com
23.45.119.206	content.cdn.personaly.bid
18.238.152.112	content.inhousedsp.com
3.5.132.182	creative-ads.s3.us-east-2.amazonaws.com
108.138.167.121	creatives.smadex.com
34.110.179.88	d.applovin.com
18.161.156.52	d3jdaktv9qp9iu.cloudfront.net
13.107.213.57	dspbeacons.ihasdsp.inmobi.com
13.107.246.57	dspbeacons.old.ihasdsp.inmobi.com
34.120.33.51	edge.safedk.com
20.33.20.79	et-eus.w.inmobi.com
20.33.20.79	et-l.w.inmobi.com
3.226.181.61	events.ads.vungle.com
34.49.167.148	exchange-b-events.inner-active.mobi
3.230.180.169	ex-na-ice.360yield.com
172.67.223.6	f.everestop.io
142.250.176.202	firebaseinstallations.googleapis.com
142.251.41.10	firebaselogging-pa.googleapis.com
142.250.80.42	firebaseremoteconfig.googleapis.com
142.251.40.131	firebase-settings.crashlytics.com
142.250.65.170	fonts.googleapis.com
142.250.65.195	fonts.gstatic.com
	g.doubleclick.net
18.211.213.101	geo-tracker.smadex.com
142.250.65.226	googleads.g.doubleclick.net
69.20.43.193	got.iad3rs0zone1.pubnative.net
69.20.13.0	got.iad3rs0zone2.pubnative.net
69.20.13.0	got.pubnative.net
31.13.93.19	graph.facebook.com
47.90.206.35	gwbudgetali.iymedia.me
52.44.130.236	hbsdk-event.log.smaato.net
152.195.19.97	i.l.inmobicdn.net
152.195.19.97	i.l-dsp.inmobicdn.net
23.47.48.100	i.sng.link
20.124.49.196	ic.de.inmobi.com
104.36.113.110	image8.pubmatic.com
3.161.225.28	imageproxy.ifunny.co
23.47.48.122	images-na.ssl-images-amazon.com
34.160.119.165	img.applovin.com
108.156.224.63	impression.appsflyer.com
18.233.123.55	impression-east.liftoff.io
3.122.16.67	impression-europe.liftoff.io
108.156.211.78	impressions.onelink.me
17.36.202.159	inappcheck.itunes.apple.com
23.41.240.19	itunes.apple.com
18.206.116.118	k8s-cronus-cronus0s-6fcf628a42-5d6f32117ebdc05a.elb.us-east-1.amazonaws.com
13.225.47.71	launches.appsflyer.com
142.250.64.65	lh4.googleusercontent.com
142.250.64.65	lh5.googleusercontent.com
142.250.64.65	lh6.googleusercontent.com
35.164.216.1	loki-gateway.vungle.io
104.36.113.34	lyr.pubmatic.com
23.47.48.125	m.media-amazon.com
52.94.224.25	mads.amazon-adsystem.com
34.102.162.219	ms.applovin.com
34.102.162.219	ms4.applovin.com
52.0.8.159	na-ice.360yield.com
192.124.249.24	ocsp.godaddy.com
142.251.35.163	ocsp.pki.goog
142.251.40.130	pagead2.googlesyndication.com
172.67.30.213	ping-hqx-1.rtbanalytics.com
34.102.162.219	prod-mediate-events.applovin.com
142.250.176.194	pubads.g.doubleclick.net
34.149.87.163	res1.applovin.com
8.44.44.45	rm.aarki.net
34.117.147.68	rt.applovin.com
104.17.6.24	rt.applvn.com
198.134.116.50	rtb-useast.displayio.cloud
52.46.130.91	s.amazon-adsystem.com
3.235.234.111	s.dessaly.com
142.251.41.6	s0.2mdn.net
52.217.118.192	s3.us-east-1.amazonaws.com
31.13.93.26	scontent-dfw5-2.xx.fbcdn.net
34.160.136.185	sdk-events.inner-active.mobi
143.204.165.106	sdk-files.smaato.net
3.161.225.13	sg01-cdn.mtgglobals.com
23.45.119.208	spire.aarki.net
204.237.133.250	st.pubmatic.com
34.102.162.219	stage-mediate-events.applovin.com
13.249.74.83	static.jampp.com
152.195.19.97	supply.inmobicdn.net
142.251.41.1	tpc.googlesyndication.com
167.235.118.100	track-eu.bidmachine.io
107.178.251.134	tr-us.adsmoloco.com
13.249.59.17	ts.amazon-adsystem.com
100.26.106.139	unifiedbidding.ad.smaato.net
47.252.93.248	us.rtb.mangomob.net
52.71.234.76	us01.rayjump.com
18.208.237.111	v2.notification-url.fraudfree.net
185.151.204.50	view.adjust.com
8.44.44.46	vungle-imp.aarki.net
	wa-linode-hb.mtgglobals.com
31.13.93.19	web.facebook.com
35.244.136.26	wv.inner-active.mobi
142.250.80.98	www.googletagservices.com
142.250.65.163	www.gstatic.com
172.67.223.6	x.everestop.io
